link,type,location,price,views
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/a-single-roomkitchen-toilet-88,Single Room,"Dirty South, Buea","400,000 FCFA",1343
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/nyanga-nyanga-cite-room-55,Single Room,"Malingo, Buea","350,000 FCFA",1329
https://www.digitalrenter.com/en/Studio/Sosoliso/Buea/a-newly-construction-studio-76,Studio,"Sosoliso, Buea","400,000 FCFA",1257
https://www.digitalrenter.com/en/Single%20Room/Small%20Soppo/Buea/calm-cool-new-room-24,Single Room,"Small Soppo, Buea","15,000 FCFA",1220
https://www.digitalrenter.com/en/Apartment/Molyko/Buea/grandious-apartment-58,Apartment,"Molyko, Buea","150,000 FCFA",1196
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/beautify-apartment-51,Apartment,"Bonduma, Buea","70,000 FCFA",1149
https://www.digitalrenter.com/en/Single%20Room/Check%20Point/Buea/single-room-to-let-130,Single Room,"Check Point, Buea","20,000 FCFA",1124
https://www.digitalrenter.com/en/Single%20Room/Bonduma/Buea/simple-room-36,Single Room,"Bonduma, Buea","22,000 FCFA",1099
https://www.digitalrenter.com/en/Apartment/Bokwango/Buea/new-spacious-apartment-35,Apartment,"Bokwango, Buea","65,000 FCFA",1094
https://www.digitalrenter.com/en/Studio/Check%20Point/Buea/studio-in-calm-envt-for-rent-108,Studio,"Check Point, Buea","40,000 FCFA",1090
https://www.digitalrenter.com/en/Studio/Bonduma/Buea/conducive-studio-164,Studio,"Bonduma, Buea","40,000 FCFA",1077
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/single-rooms-to-let-in-molyko-80,Single Room,"Dirty South, Buea","300,000 FCFA",1070
https://www.digitalrenter.com/en/Single%20Room/Sosoliso/Buea/a-single-roomkitchen-toilet-79,Single Room,"Sosoliso, Buea","348,000 FCFA",1062
https://www.digitalrenter.com/en/Single%20Room/Santa%20Barbara/Buea/big-room-to-let-73,Single Room,"Santa Barbara, Buea","25,000 FCFA",1057
https://www.digitalrenter.com/en/Apartment/Sandpit/Buea/amazing-apartment-30,Apartment,"Sandpit, Buea","50,000 FCFA",1042
https://www.digitalrenter.com/en/Apartment/Sandpit/Buea/amazing-family-apartment-31,Apartment,"Sandpit, Buea","60,000 FCFA",1019
https://www.digitalrenter.com/en/Single%20Room/Bonduma/Buea/beautiful-newly-constructed-93,Single Room,"Bonduma, Buea","25,000 FCFA",1018
https://www.digitalrenter.com/en/Studio/Check%20Point/Buea/studio-to-let-128,Studio,"Check Point, Buea","50,000 FCFA",1004
https://www.digitalrenter.com/en/Single%20Room/Great%20soppo/Buea/beautiful-room-in-calm-env-92,Single Room,"Great soppo, Buea","30,000 FCFA",988
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/big-fenced-apartment-for-rent-60,Apartment,"Bonduma, Buea","100,000 FCFA",980
https://www.digitalrenter.com/en/Apartment/Buea%20Town/Buea/new-beautiful-apartment-4rent-98,Apartment,"Buea Town, Buea","90,000 FCFA",976
https://www.digitalrenter.com/en/Studio/Bakweri%20Town/Buea/new-studio-to-let-72,Studio,"Bakweri Town, Buea","35,000 FCFA",939
https://www.digitalrenter.com/en/Apartment/Sandpit/Buea/magnificent-3-bedroom-aptmt-135,Apartment,"Sandpit, Buea","130,000 FCFA",937
https://www.digitalrenter.com/en/Studio/Bakweri%20Town/Buea/studio-to-let-71,Studio,"Bakweri Town, Buea","35,000 FCFA",926
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/lovely-apartment-17,Apartment,"Bonduma, Buea",,879
https://www.digitalrenter.com/en/Single%20Room/Sosoliso/Buea/single-room-for-rent-in-soliso-78,Single Room,"Sosoliso, Buea","250,000 FCFA",875
https://www.digitalrenter.com/en/Apartment/Great%20soppo/Buea/family-apartment-at-campaign-s-133,Apartment,"Great soppo, Buea","100,000 FCFA",873
https://www.digitalrenter.com/en/Single%20Room/Bakweri%20Town/Buea/beautiful-room-for-rent-70,Single Room,"Bakweri Town, Buea","20,000 FCFA",871
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/clean-apt-in-calm-quite-env-85,Apartment,"Bonduma, Buea","100,000 FCFA",849
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/beautify-apartment-38,Apartment,"Bonduma, Buea","75,000 FCFA",822
https://www.digitalrenter.com/en/Single%20Room/Bonduma/Buea/cool-single-room-11,Single Room,"Bonduma, Buea","20,000 FCFA",816
https://www.digitalrenter.com/en/Apartment/Small%20Soppo/Buea/apartment-to-let-125,Apartment,"Small Soppo, Buea","80,000 FCFA",812
https://www.digitalrenter.com/en/Single%20Room/Check%20Point/Buea/a-single-room-available-to-let-127,Single Room,"Check Point, Buea","20,000 FCFA",803
https://www.digitalrenter.com/en/Studio/Bonduma/Buea/a-studio-to-let-126,Studio,"Bonduma, Buea","35,000 FCFA",802
https://www.digitalrenter.com/en/Studio/Sandpit/Buea/a-studio-to-let-138,Studio,"Sandpit, Buea","45,000 FCFA",790
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/beautify-apartment-37,Apartment,"Bonduma, Buea","60,000 FCFA",789
https://www.digitalrenter.com/en/Studio/Buea%20Town/Buea/studio-in-calm-envt-for-rent-99,Studio,"Buea Town, Buea","60,000 FCFA",783
https://www.digitalrenter.com/en/Apartment/Bakweri%20Town/Buea/a-2-bedroom-apartment-137,Apartment,"Bakweri Town, Buea","80,000 FCFA",650
https://www.digitalrenter.com/en/Studio/Sosoliso/Buea/clean-studio-to-let-153,Studio,"Sosoliso, Buea","40,000 FCFA",648
https://www.digitalrenter.com/en/Store/Sandpit/Buea/business-store-for-rent-139,Store,"Sandpit, Buea","50,000 FCFA",629
https://www.digitalrenter.com/en/Apartment/Great%20soppo/Buea/new-clean-apartmt-in-quiet-env-210,Apartment,"Great soppo, Buea","70,000 FCFA",606
https://www.digitalrenter.com/en/Apartment/Bakweri%20Town/Buea/an-apartment-for-rent-136,Apartment,"Bakweri Town, Buea","80,000 FCFA",578
https://www.digitalrenter.com/en/Studio/Great%20soppo/Buea/new-clean-studio-in-quiet-env-211,Studio,"Great soppo, Buea","40,000 FCFA",574
https://www.digitalrenter.com/en/Single%20Room/Paramount%20-%20St%20Clair/Buea/student-hostel-to-let-299,Single Room,"Paramount - St Clair, Buea","220,000 FCFA",166
https://www.digitalrenter.com/en/Apartment/Great%20soppo/Buea/apartment-to-let-314,Apartment,"Great soppo, Buea","65,000 FCFA",159
https://www.digitalrenter.com/en/Single%20Room/Check%20Point/Buea/single-room-to-let-286,Single Room,"Check Point, Buea","20,000 FCFA",158
https://www.digitalrenter.com/en/Apartment/Small%20Soppo/Buea/apartment-to-let-325,Apartment,"Small Soppo, Buea","50,000 FCFA",155
https://www.digitalrenter.com/en/Single%20Room/Boaster/Buea/single-room-to-let-327,Single Room,"Boaster, Buea","20,000 FCFA",150
https://www.digitalrenter.com/en/Single%20Room/Check%20Point/Buea/room-to-let-288,Single Room,"Check Point, Buea","15,000 FCFA",149
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/student-hostel-to-let-241,Single Room,"Dirty South, Buea","190,000 FCFA",146
https://www.digitalrenter.com/en/Single%20Room/Sosoliso/Buea/student-hostel-to-let-252,Single Room,"Sosoliso, Buea","350,000 FCFA",144
https://www.digitalrenter.com/en/Guest%20House/Federal%20Quarter/Buea/calm-secure-furnished-suites-331,"Calm & sec - 
				
		  		Guest House","Federal Quarter, Buea",,138
https://www.digitalrenter.com/en/Single%20Room/Sosoliso/Buea/student-hostel-to-let-249,Single Room,"Sosoliso, Buea","260,000 FCFA",137
https://www.digitalrenter.com/en/Single%20Room/Small%20Soppo/Buea/single-room-to-let-328,Single Room,"Small Soppo, Buea","25,000 FCFA",135
https://www.digitalrenter.com/en/Single%20Room/Sosoliso/Buea/student-hostel-to-let-250,Single Room,"Sosoliso, Buea","220,000 FCFA",133
https://www.digitalrenter.com/en/Apartment/Sokollo/Limbe/2-apartment-1-studio-for-sale-342,House - apartment(s),"Sokollo, Limbe","18,000,000 FCFA",70
https://www.digitalrenter.com/en/Apartment/Down%20Beach/Limbe/twin-4-rm-apartment-for-sale-340,House - apartment(s),"Down Beach, Limbe","20,000,000 FCFA",61
https://www.digitalrenter.com/en/Apartment/Mile%202/Limbe/house-extra-foundation-for-sale-341,House - apartment(s),"Mile 2, Limbe","14,000,000 FCFA",54
https://www.digitalrenter.com/en/Studio/Douala/Douala/modern-studio-338,Studio,Douala,"60,000 FCFA",30
https://www.digitalrenter.com/en/Apartment/Check%20Point/Buea/apartments-to-let-339,Apartment,"Check Point, Buea","90,000 FCFA",16
https://www.digitalrenter.com/en/Apartment/Limbe/Limbe/spacious-apartments-89,Apartment,Limbe,,2256
https://www.digitalrenter.com/en/Apartment/Muea/Muea/apartment-studio-house-for-sale-63,House - apartment(s),Muea,"17,000,000 FCFA",1896
https://www.digitalrenter.com/en/Studio/Bonduma/Buea/extra-large-studio-15,Studio,"Bonduma, Buea","60,000 FCFA",1718
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/magnificent-apartment-43,Apartment,"Bonduma, Buea","120,000 FCFA",1586
https://www.digitalrenter.com/en/Studio/Malingo/Buea/nyang-nyang-studios-for-rent-54,Studio,"Malingo, Buea","50,000 FCFA",1511
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/immaculately-presented-apartmt-50,Apartment,"Bonduma, Buea","60,000 FCFA",1443
https://www.digitalrenter.com/en/Studio/Bakweri%20Town/Buea/new-clean-studio-to-let-152,Studio,"Bakweri Town, Buea",  ,1433
https://www.digitalrenter.com/en/Studio/Bakweri%20Town/Buea/new-clean-studio-to-let-152,Studio,"Bakweri Town, Buea",,1433
