link,type,location,price,views
https://www.digitalrenter.com/en/Apartment/Check%20Point/Buea/very-clean-apartment-to-let-158,Apartment,"Check Point, Buea","70,000 FCFA",733
https://www.digitalrenter.com/en/Store/Molyko/Buea/spacious-business-halloffice-157,Store,"Molyko, Buea","300,000 FCFA",728
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/a-classic-newly-built-apartmt-160,Apartment,"Bonduma, Buea","80,000 FCFA",681
https://www.digitalrenter.com/en/Apartment/Mile%2018/Mile%2018/apartment-for-rent-105,Apartment,Mile 18,"150,000 FCFA",653
https://www.digitalrenter.com/en/Apartment/Check%20Point/Buea/clean-and-spacious-apartment-186,Apartment,"Check Point, Buea","100,000 FCFA",627
https://www.digitalrenter.com/en/Single%20Room/Mile%2017/Buea/comfy-single-room-in-crystalan-162,Single Room,"Mile 17, Buea","350,000 FCFA",570
https://www.digitalrenter.com/en/Studio/Mile%2017/Buea/comfy-apartment-in-crystalan-163,Studio,"Mile 17, Buea","650,000 FCFA",559
https://www.digitalrenter.com/en/Single%20Room/Molyko/Buea/nice-single-room-to-let-154,Single Room,"Molyko, Buea","240,000 FCFA",556
https://www.digitalrenter.com/en/Store/Bonduma/Buea/store-under-finishing-for-rent-142,Store,"Bonduma, Buea","50,000 FCFA",529
https://www.digitalrenter.com/en/Guest%20House/Camsic/Buea/mon-tresor-suites-220,"Mon Tréso - 
				
		  		Guest House","Camsic, Buea",,523
https://www.digitalrenter.com/en/Apartment/Paramount%20-%20St%20Clair/Buea/a-2-bedroom-apartment-155,Apartment,"Paramount - St Clair, Buea","50,000 FCFA",507
https://www.digitalrenter.com/en/Guest%20House/Molyko/Buea/oxford-guest-haus-212,"Oxford Gue - 
				
		  		Guest House","Molyko, Buea",,481
https://www.digitalrenter.com/en/Apartment/Camsic/Buea/apartment-with-good-security-219,Apartment,"Camsic, Buea",,471
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/large-officebank-space-228,Apartment,"Bonduma, Buea","1,000,000 FCFA",441
https://www.digitalrenter.com/en/Single%20Room/Santa%20Barbara/Buea/single-room-to-let-271,Single Room,"Santa Barbara, Buea","20,000 FCFA",427
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/single-room-for-rent-in-molyko-205,Single Room,"Dirty South, Buea","25,000 FCFA",403
https://www.digitalrenter.com/en/Store/Bakweri%20Town/Buea/a-business-store-to-let-207,Store,"Bakweri Town, Buea","50,000 FCFA",396
https://www.digitalrenter.com/en/Apartment/Winners%20Chapel/Buea/nice-clean-apartment-to-let-273,Apartment,"Winners Chapel, Buea","60,000 FCFA",389
https://www.digitalrenter.com/en/Studio/Winners%20Chapel/Buea/studio-to-let-279,Studio,"Winners Chapel, Buea","50,000 FCFA",382
https://www.digitalrenter.com/en/Apartment/Buea/Buea/apartment-to-let-261,Apartment,Buea,"70,000 FCFA",361
https://www.digitalrenter.com/en/Studio/Winners%20Chapel/Buea/studio-to-let-277,Studio,"Winners Chapel, Buea","35,000 FCFA",360
https://www.digitalrenter.com/en/Single%20Room/Santa%20Barbara/Buea/nice-room-to-let-269,Single Room,"Santa Barbara, Buea","14,000 FCFA",352
https://www.digitalrenter.com/en/Apartment/Winners%20Chapel/Buea/apartment-to-let-275,Apartment,"Winners Chapel, Buea","85,000 FCFA",321
https://www.digitalrenter.com/en/Single%20Room/Paramount%20-%20St%20Clair/Buea/room-in-quiet-environment-168,Single Room,"Paramount - St Clair, Buea","2,500 FCFA",321
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/nice-room-for-gce-markers-172,Single Room,"Dirty South, Buea","2,000 FCFA",316
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/room-with-external-toilet-177,Single Room,"Dirty South, Buea","1,500 FCFA",314
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/clean-big-hostel-shared-room-185,Single Room,"Malingo, Buea","2,500 FCFA",308
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/large-and-decorated-room-173,Single Room,"Dirty South, Buea","3,000 FCFA",306
https://www.digitalrenter.com/en/Single%20Room/Molyko/Buea/shared-space-for-1-marker-182,Single Room,"Molyko, Buea","2,000 FCFA",305
https://www.digitalrenter.com/en/Single%20Room/Molyko/Buea/simple-room-with-mattress-181,Single Room,"Molyko, Buea","1,500 FCFA",303
https://www.digitalrenter.com/en/Apartment/Santa%20Barbara/Buea/apartment-to-let-264,Apartment,"Santa Barbara, Buea","65,000 FCFA",300
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/room-kitchen-toilet-for-rent-190,Single Room,"Malingo, Buea","2,500 FCFA",299
https://www.digitalrenter.com/en/Single%20Room/Molyko/Buea/simple-room-for-gce-marker-188,Single Room,"Molyko, Buea","2,000 FCFA",297
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/spacious-room-prepared-for-you-199,Single Room,"Malingo, Buea","3,000 FCFA",296
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/room-for-rentshared-space-178,Single Room,"Dirty South, Buea","2,000 FCFA",296
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/full-room-for-gce-markers-179,Single Room,"Dirty South, Buea","2,000 FCFA",295
https://www.digitalrenter.com/en/Single%20Room/Molyko/Buea/big-room-close-to-the-road-170,Single Room,"Molyko, Buea","3,500 FCFA",294
https://www.digitalrenter.com/en/Single%20Room/Molyko/Buea/big-room-close-to-the-road-169,Single Room,"Molyko, Buea","2,500 FCFA",293
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/simple-room-and-bathroom-192,Single Room,"Dirty South, Buea","2,500 FCFA",292
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/spacious-highly-secure-room-180,Single Room,"Dirty South, Buea","3,500 FCFA",292
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/single-room-available-for-you-201,Single Room,"Malingo, Buea","2,500 FCFA",275
https://www.digitalrenter.com/en/Single%20Room/Molyko/Buea/clean-secure-and-calm-room-191,Single Room,"Molyko, Buea","3,500 FCFA",269
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/simple-room-and-bathroom-193,Single Room,"Dirty South, Buea","2,000 FCFA",265
https://www.digitalrenter.com/en/Single%20Room/Molyko/Buea/well-organized-room-ready-200,Single Room,"Molyko, Buea","2,500 FCFA",264
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/room-in-calm-and-serene-env-197,Single Room,"Malingo, Buea","3,000 FCFA",263
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/single-room-in-cleancalm-area-198,Single Room,"Malingo, Buea","3,000 FCFA",260
https://www.digitalrenter.com/en/Apartment/Great%20soppo/Buea/apartment-to-let-312,Apartment,"Great soppo, Buea","60,000 FCFA",216
https://www.digitalrenter.com/en/Single%20Room/Bakweri%20Town/Buea/single-room-to-let-323,Single Room,"Bakweri Town, Buea","12,000 FCFA",212
https://www.digitalrenter.com/en/Single%20Room/Great%20soppo/Buea/single-room-to-let-320,Single Room,"Great soppo, Buea","20,000 FCFA",212
https://www.digitalrenter.com/en/Single%20Room/Biaka%20Institute/Buea/room-to-let-296,Single Room,"Biaka Institute, Buea","25,000 FCFA",212
https://www.digitalrenter.com/en/Apartment/Sosoliso/Buea/apartment-to-let-282,Apartment,"Sosoliso, Buea","60,000 FCFA",212
https://www.digitalrenter.com/en/Apartment/Great%20soppo/Buea/clean-apartment-to-let-330,Apartment,"Great soppo, Buea","70,000 FCFA",209
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/student-hostel-to-let-292,Single Room,"Malingo, Buea","380,000 FCFA",204
https://www.digitalrenter.com/en/Apartment/Great%20soppo/Buea/extremely-affordable-apartment-307,Apartment,"Great soppo, Buea","70,000 FCFA",195
https://www.digitalrenter.com/en/Store/Check%20Point/Buea/store-to-let-306,Store,"Check Point, Buea","60,000 FCFA",192
https://www.digitalrenter.com/en/Single%20Room/Santa%20Barbara/Buea/single-room-to-let-265,Single Room,"Santa Barbara, Buea","20,000 FCFA",190
https://www.digitalrenter.com/en/Apartment/Mile%2017/Buea/apartment-to-let-290,Apartment,"Mile 17, Buea","80,000 FCFA",188
https://www.digitalrenter.com/en/Apartment/Great%20soppo/Buea/3-bedrooms-apartment-to-let-310,Apartment,"Great soppo, Buea","50,000 FCFA",184
